singkat,hasil
abis,habis
accent,tekanan
accept,terima
accident,kecelakaan
achievement,prestasi
acra,acara
acrany,acaranya
acrnya,acaranya
action,aksi
active,aktif
activity,aktivitas
actually,sebenarnya
actualy,sebenarnya
ad,ada
ade,ada
adult,dewasa
adventure,petualangan
adventurer,petualang
advice,nasehat
after,setelah
afternun,sore
again,lagi
agency,perwakilan
agent,agen
agk,agak
agktn,angkatan
agree,setuju
agreement,persetujuan
aing,saya
aj,saja
aja,saja
ajah,saja
aje,saja
ajeh,saja
ajk,ajak
ak,saya
akeh,banyak
akhire,akhirnya
aktifkn,aktifkan
aku,saya
alhamdlh,alhamdulillah
alhamdulilah,alhamdulillah
almost,hampir
almt,alamat
alone,sendiri
alsn,alasan
also,juga
always,selalu
ama,sama
amazing,mengagumkan
ampe,sampai
amu,kamu
amuh,kamu
ancen,memang
ancur,hancur
ane,saya
anget,hangat
aple,apple
aplksi,aplikasi
aproved,diterima
aq,saya
aqoe,saya
aqu,saya
aqw,saya
arep,mau
arived,tiba
article,artikel
artine,artinya
asignment,tugas
assistance,bantuan
assistant,asisten
asyek,asyik
ats,atas
atu,satu-satu
atw,atau
automatic,otomatis
aya,ada
b,bb
"b\kesinambungn""",berkesinambungan
babeh,ayah
balasanya,balasannya
bales,balas
banga,bangga
batre,baterai
bbrapa,beberapa
bbrp,beberapa
bbrpa,beberapa
bdg,bandung
beach,pantai
before,sebelum
begete,banget
bego,bodoh
belike,belikan
bengi,malam
benjol,memar
beraktifitas,beraktivitas
berjln,berjalan
berkmmpuan,berkemampuan
bersaman,bersamaan
bet,banget
beter,better
between,antara
Bgm,bagaimana
bgmn,bagaimana
bgmna,bagaimana
bgn,bangun
bgt,banget
bgtu,begitu
bhs,bahasa
bimbel,bimbingan belajar
birthday,ulang tahun
bis,habis
bjln,berjalan
bklan,bakalan
bkn,bukan
blackbery,blackberry
blg,bilang
blk,balik
blm,belum
bln,bulan
blng,bilang
blnja,belanja
blom,belum
blon,belum
bls,balas
blsanya,balasannya
blum,belum
bm,bbm
bnar,benar
bner,benar
bnr,benar
bnrn,beneran
bntr,sebentar
bntu,bantu
bnuh,bunuh
bnyk,banyak
bobonya,tidurnya
bodo,bodoh
bokap,ayah
bole,boleh
boong,bohong
boring,bosan
bpak,bapak
bpk,bapak
brangcut,berangkat
brangkt,berangkat
brenang,berenang
brg,barang
brp,berapa
brpa,berapa
brsih,bersih
bru,baru
bs,bisa
bsa,bisa
bsar,besar
bsh,basah
bsk,besok
bsok,besok
bsr,besar
bth,butuh
btuh,butuh
btul,betul
btw,ngomong ngomong
buanged,banget
buangedh,banget
buanget,banget
buktiin,buktikan
buktin,buktikan
buln,bulan
bungks,bungkus
bw,bawa
bwa,bawa
bwah,bawah
bwat,untuk
bwh,bawah
bwt,untuk
byar,bayar
byk,banyak
byr,bayar
cabe,cabai
cadas,cerdas
cah,bocah
call,telepon
can,dapat
cape,capek
"car
",mobil
career,karir
caution,perhatian
cb,coba
Ceman,teman
cemungudh,semangat
Cemungut,semangat
cepet,cepat
cew,cewek
cewe,cewek
check,cek
ciapa,siapa
cibuk,sibuk
cinto,cinta
cius,serius
ciusan,seriusan
ciyus,serius
clananya,celananya
cmpakan,campakkan
cmpakin,campakkan
cnd,canda
cnda,canda
cnggih,canggih
cngih,canggih
cnt,cinta
cnta,cinta
cntik,cantik
cntk,cantik
cntre,tengah
co,cowok
coach,pelatih
coaster,alas
cocokin,cocokkan
cocoknyo,cocoknya
coconut,kelapa
cod,bayar saat pengiriman
coding,mengkode
coklat,cokelat
colecting,mengoleksi
colection,koleksi
colongin,curikan
colonial,kolonial
color,warna
colorful,berwarna-warni
colour,warna
comeback,datang kembali
comedy,komedi
comendable,patut dihargai
coment,komen
comercial,komersil
comes,datang
comfirm,konfirmasi
Comfort,nyaman
comfortable,menyenangkan
comic,komik
coming,datang
comingson,segera datang
comingsoon,segera datang
commando,prajurit
commendable,patut dihargai
comment,komen
commentary,uraian
commercial,komersil
community,komunita
communityny,komunitanya
company,perusahaan
competition,persaingan
complain,mengeluh
complete,lengkap
completes,lengkap
compliment,pujian
compose,menyusun
computing,menghitung
comunity,komunita
comunityny,komunitanya
concept,konsep
concert,konser
condition,kondisi
conditioning,mengkondisikan
conect,menghubungkan
conection,koneksi
confident,yakin
configuration,susunan
confirm,konfirmasi
confius,bingung
confuse,bingung
confused,bingung
congralts,(ucapan) selamat
Congrat,(ucapan) selamat
congrate,(ucapan) selamat
congrats,(ucapan) selamat
consept,konsep
consider,mempertimbangkan
consult,berunding
consultants,konsultan
consumer,konsumen
contac,kontak
contact,kontak
content,isi
contest,kontes
contoe,contohnya
contra,kontra
contract,kontrak
control,kontrol
convention,konvensi
Convoy,konvoi
cook,memasak
copas,copy paste
copot,lepas
corner,sudut
corners,sudut
corola,corolla
correction,koreksi
corridor,koridor
cosmetics,kosmetik
cost,ongkos
costs,ongkos
costum,kostum
could,dapat
council,dewan
countdown,perhitungan detik-detik terakhir
counter,alat perhitungan
country,negara
countryside,daerah pedalaman
couple,pasangan
cousin,sepupu
cow,cowok
cowo,cowok
cpt,cepat
cr,cara
crazy,gila
cri,cari
crt,cerita
crtx,ceritanya
cucok,cocok
cukop,cukup
cuman,cuma
cumn,hanya
curcol,curhat
cwek,cewek
cwo,cowok
cwok,cowok
cyus,serius
dah,sudah
dalan,jalan
dangerous,bahaya
dasyat,dahsyat
date,tanggal
dateng,datang
datenglah,datanglah
day,hari
dbls,dibalas
dbnt,dibantu
ddlm,didalam
dduk,duduk
defence,pertahanan
defend,membela
deg2an,deg-degan
degdeg,deg-degan
degdeg-an,deg-degan
degdegan,deg-degan
degdegser,deg-degan
deket,dekat
desek2an,desak-desakan
desekan,desakan
dewe,sendiri
dftar,daftar
dg,dengan
dgn,dengan
dgr,dengar
dgrin,dengarkan
dgrn,dengarkan
dh,sudah
dibangain,dibanggakan
dibls,dibalas
digangu,diganggu
diizinin,diberi izin
dikasi,dikasih
dikasinya,dikasihnya
dikit,sedikit
dikls,di kelas
diliat,dilihat
diluk,sebentar
dimana2,dimana-mana
dimkn,dimakan
dimksd,dimaksud
dimn2,dimana-mana
dimna,dimana
dinstal,diinstall
dipake,dipakai
dipangilnya,dipanggilnya
dipke,dipakai
disawat,dilempar
disblah,disebelah
discon,diskon
discont,diskon
discount,diskon
disebrang,diseberang
disebuah,disebuah
disekolah,di sekolah
disekolahan,di sekolahan
disekolahin,disekolahkan
diselengarakan,diselenggarakan
diselimutin,diselimuti
disenayan,di senayan
disenen,di senen
disentul,di sentul
diservice,diservis
dishub,Dinas Perhubungan
dishubkominfo,Dinas Perhubungan Komunikasi dan Informatika
disi,diisi
disia2in,disia-siakan
disimpen,disimpan
disimpng,disimpang
disinih,disini
disklh,di sekolah
diskonnye,diskonnya
diskony,diskonnya
diskonya,diskonnya
Diskonye,diskonnya
disni,disini
disono,disana
disonoh,disana
distribution,distribusi
district,daerah
distroy,hancur
disturb,ganggu
disurga,di surga
disurh,disuruh
disuru,disuruh
ditabra,ditabrak
ditaktir,ditraktir
ditaman,di taman
ditambahin,ditambahkan
ditanah,di tanah
ditangepin,ditanggapin
ditanggepin,ditanggapin
ditangkep,ditangkap
ditangkepinnya,ditangkapinnya
ditangkepinya,ditangkapinnya
ditangung,ditanggung
ditaro,ditaruh
ditarok,ditaruh
ditelen,ditelan
ditemeni,ditemani
ditemenin,ditemani
diteraktir,ditraktir
ditingal,ditinggal
ditingali,ditinggali
ditingikan,ditinggikan
ditkarkan,ditukarkan
ditlp,ditelepon
ditmpt,di tempat
ditngah,ditengah
ditngguin,ditungguin
ditnguin,ditunggu
ditnjkn,ditunjukkan
ditoko,di toko
ditrakter,ditraktir
ditrotoar,di trotoar
ditugu,di tugu
dituker,ditukar
ditukoke,dibelikan
ditukokno,dibelikan
ditumbasne,dibelikan
ditumpaki,dinaiki
diTunas,di tunas
ditunggu2,ditunggu-tunggu
ditungu,ditunggu
ditungu2,ditunggu-tunggu
ditunguin,ditunggu
ditunjukan,ditunjukkan
ditunjukin,ditunjukkan
diturunkn,diturunkan
diwarnet,di warnet
diweekend,di akhir pekan
diwolak,dibalik
djagain,dijaga
djemput,dijemput
dJkt,di Jakarta
djln,di jalan
dkasih,dikasih
dkat,dekat
dkatkan,dekatkan
dket,dekat
dketan,dekat
dkit,sedikit
dkk,dan kawan-kawan
dklinikk,di klinik
dkluarin,dikeluarkan
dkmps,di kampus
dkomplain,dikomplain
dksh,dikasih
dkt,dekat
dkung,dukung
dl,dulu
dlakukan,dilakukan
dlakukn,dilakukan
dlam,dalam
dlanjutin,dilanjutkan
dliat,dilihat
dliburkan,diliburkan
dll,dan lain-lain
dlm,dalam
dlnjutin,dilanjutkan
dlu,dulu
dluan,duluan
dmainkan,dimainkan
dmakan,dimakan
dmam,demam
dmamX,demamnya
dman,dimana
dmana,dimana
dminta,diminta
dmn,dimana
dmna,dimana
dmna2,dimana-mana
dmnanya,dimananya
dmnnya,dimananya
dmno,dimana
dmnt,diminta
dmnya,dimananya
dmobil,di mobil
dmonas,di monas
dmtr,di motor
dn,dan
dng,dengan
dngan,dengan
dnger,dengar
dnger2,denga-dengar
dngerin,dengarkan
dnggo,dipakai
dngin,dingin
dnginan,dinginan
dngn,dengan
doain,doakan
doane,doanya
doang,saja
doank,saja
dolali,pada lupa
dolan,bermain
donload,unduh
donlod,unduh
donlot,unduh
dont,jangan
dpat,dapat
dpatkan,dapatkan
dpet,dapat
dpn,depan
dpstikn,dipastikan
dpt,dapat
dr,dari
dri,dari
dripada,daripada
dripd,daripada
drmh,di rumah
drmn,darimana
drpd,daripada
drtd,daritadi
dsana,disana
dsar,dasar
dsb,dan sebagainya
dsini,disini
dsitu,disitu
dskolah,di sekolah
dsktr,di sekitar
dsmber,desember
dsna,disana
dsni,disini
dsno,disana
dsruh,disuruh
dst,dan seterusnya
dtang,datang
dteng,datang
dtg,datang
dtgin,datangin
dturunkn,diturunkan
duitna,duitnya
during,selama
duwe,punya
duwit,duit
dy,dia
elo,kamu
elu,kamu
emg,emang
emng,emang
emoh,tidak mau
endiri,sendiri
endonesa,Indonesia
enelaan,beneran
engak,tidak
engga,tidak
enggk,tidak
engk,tidak
enk,enak
enough,cukup
entar,nanti
enteng,ringan
enyak,enak
etc,dan lain-lain
event,acara
every,setiap
everybody,semua orang
everything,segala sesuatu
everywhere,dimanapun
ex,contoh
excelent,bagus
exit,keluar
face,muka
fact,fakta
failed,gagal
father,ayah
fee,biaya
ferari,ferrari
filem,film
finally,akhirnya
focus,fokus
folback,follow back
folbacknya,follow back nya
folbc,follow back
folbcak,follow back
folbek,follow back
folbeknya,follow back nya
follback,follow back
follbacknya,follow back nya
follbc,follow back
follo,follow
followbak,follow back
folo,follow
folow,follow
folowback,follow back
folowbak,follow back
folowbcak,follow back
football,sepak bola
for,untuk
forged,lupa
forget,lupa
forgot,lupa
foto2,foto-foto
friday,jumat
friend,teman
frofil,profil
from,dari
function,fungsi
funny,lucu
funtion,fungsi
funy,lucu
g,tidak
ga,tidak
gaada,tidak ada
gaakan,tidak akan
gaasik,tidak asik
gabakal,tak akan
gabareng,tidak bareng
gabebas,tidak bebas
gabeda,tidak beda
gaberani,tidak berani
gabilang,tidak bilang
gabisa,tidak bisa
gabole,tidak boleh
gaboleh,tidak boleh
gabosen,tidak bosen
gabs,tidak bisa
gad,tidak ada
gada,tidak ada
gadaiin,gadaikan
Gadapet,tidak dapat
gadein,gadaikan
gadeket,tidak dekat
gadiajak,tidak diajak
gadibales,tidak dibalas
gae,membuat
gaean,pekerjaan
gaenak,tidak enak
gaene,biasanya
gag,tidak
gahoel,gaul
gahol,gaul
gaikut,tidak ikut
gaikutaaan,tidak ikutan
gaikutan,tidak ikutan
gaiso,tidak bisa
gajadi,tidak jadi
gajalan,tidak jalan
gajanji,tidak janji
gajauh,tidak jauh
Gajd,tidak jadi
Gaje,tidak jelas
gajelas,tidak jelas
gajenguk,tidak menjenguk
gak,tidak
gakada,tidak ada
Gakan,tidak akan
gakbilang,tidak bilang
gakbisa,tidak bisa
gakdeh,tidak deh
gakenak,tidak enak
gakjadi,tidak jadi
gakmau,tidak mau
gakpapa,tidak apa-apa
gakpenting,tidak penting
gakpernah,tidak pernah
gaksabar,tidak sabar
gaksemua,tidak semua
gaksih,tidak sih
gaktau,tidak tau
gaktuh,tidah tuh
gamain,tidak main
gamales,tidak malas
gamao,tidak mau
gamasuk,tidak masuk
gamau,tidak mau
gamsk,tidak masuk
gamuat,tidak muat
gamungkin,tidak mungkin
gan,juragan
gangajak,tidak mengajak
Gangerti,tidak mengerti
ganguin,gangguin
gantiin,gantikan
gantinen,ganti saja
gaosah,tidak usah
gapada,tidak pada
gapaham,tidak paham
gapake,tidak pakai
gapapa,tidak apa-apa
gapercaya,tidak percaya
gaperlu,tidak perlu
gapernah,tidak pernah
gapo,tidak apa-apa
gaptek,gagap teknologi
gapulang,tidak pulang
gara2,gara-gara
gasabar,tidak sabar
gasalah,tidak salah
gasanggup,tidak sanggup
gasecerah,tidak secerah
gasedingin,tidak sedingin
gasekeras,tidak sekeras
gaseru,tidak seru
gasia2,tidak sia-sia
gasih,tidak sih
gasik,datang lebih awal
gasuka,tidak suka
gatau,tidak tau
gatel,gatal
gathel,gatal
gatuh,tidak tuh
Gausa,tidak usah
gausah,tidak usah
gaush,tidak usah
gawake,bawakan
gawakne,bawakan
gayalu,gayamu
gbawa,tidak bawa
gbk,Gelora Bung Karno
gblg,tidak bilang
gblk,tidak balik
gbs,tidak bisa
gbsa,tidak bisa
gda,tidak ada
gebetan,pasangan
gebetn,pasangan
geblek,bodoh
gede,besar
gedenya,besarnya
gedhe2an,besar-besaran
gelem,bersedia
gelo,gila
gendeng,bodoh
gendheng,bodoh
gendud,gemuk
geto,begitu
getoh,begitu
gg,tidak
gilak,gila
gile,gila
gimana,bagaimana
gimane,bagaimana
gimna,bagaimana
gini,begini
gitu,begitu
gituan,begituan
gituh,begitu
gjd,tidak jadi
gjdi,tidak jadi
gjls,tidak jelas
gjnji,tidak janji
gk,tidak
gmbr,gambar
gmn,bagaimana
gmna,bagaimana
gmne,bagaimana
gnti,ganti
goceng,lima ribu
godan,godaan
good luck,semoga berhasil
goodmorning,selamat pagi
goro2,gara-gara
gpl,tidak pakai lama
gpp,tidak-apa-apa
gpplah,tidak apa-apalah
gr2,gara-gara
gra,gara-gara
grade,tingkat
gt,begitu
gtu,begitu
gtw,tidak tau
gua,saya
gue,saya
gueh,saya
guweh,saya
gw,saya
gwe,saya
gx,tidak
gy,sedang
hany,hanya
hape,hp
hapi,senang
happy,senang
happybday,selamat ulang tahun
hareem,perempuan
harg,harga
hargnya,harganya
hargonyo,harganya
hasek,asyik
hawong,lhawong
hbd,selamat ulang tahun
hbs,habis
hdiah,hadiah
hdiahnya,hadiahnya
hdirkan,hadirkan
hdp,hidup
hdpn,hadapan
hdup,hidup
heng,error
hidp,hidup
hidpmu,hidupmu
hinga,hingga
hmpas,hempas
hmpir,hampir
hntu,hantu
hny,hanya
hnya,hanya
Hoam,ngantuk
honest,jujur
hr,hari
hrapan,harapan
hrg,harga
hrga,harga
hrgnya,harganya
hri,hari
hrs,harus
hrsnya,harusnya
hrus,harus
hrz,harus
hsil,hasil
hsl,hasil
htelnya,hotelnya
htiku,hatiku
hub,hubungi
hungry,lapar
ibdah,ibadah
idung,hidung
ijin,izin
ijo,hijau
iki,ini
ikt,ikut
iktan,ikutan
iktn,ikutan
ikud,ikut
ilang,hilang
img,gambar
inbox,kotak masuk
inceran,incaran
include,termasuk
indh,indah
indo,indonesia
info,informasi
infonya,informasinya
information,informasi
informkan,informasikan
infox,informasinya
inget,ingat
inginya,inginnya
ingt,ingat
ingtn,ingatan
inovation,inovasi
inpo,informasi
inpoh,informasi
insaallah,insyaAllah
insyaa,insyaAllah
insyaaloh,insyaAllah
insyah,insyaAllah
insyalah,insyaAllah
intrnet,internet
invit,mengajak
invite,mengajak
invte,mengajak
io,iya
ireng,hitam
iseh,masih
isih,masih
isin,malu
isine,isinya
iso,bisa
isteri,istri
istrht,istirahat
isuk,pagi
itung,hitung
iy,iya
iyadah,iya dah
iyadeh,iya dah
iyadong,iya dong
iyadund,iya dong
iyah,iya
iyanih,iya nih
iyasih,iya sih
iyaw,iya
iye,iya
iyedah,iya dah
iyelah,iyalah
iyeu,iya
iyh,iya
iyo,iya
iyosih,iya sih
iyuh,iya
iyuwh,iya
j,saja
ja,saja
jabar,Jawa Barat
jadina,jadinya
jadinye,jadinya
jadul,jaman dulu
jadwalnye,jadwalnya
jahate,jahatnya
jakpus,Jakarta Pusat
jakrta,Jakarta
jaksel,Jakarta Selatan
jaktim,Jakarta Timur
jalan2,jalan-jalan
jalankn,jalankan
jalanya,jalannya
jamanna,jamannya
jamanny,jamannya
jamany,jamannya
jamanya,jamannya
jamanye,jamannya
jangn,jangan
japan,jepang
jare,kata
jaringanx,jaringannya
jaringn,jaringan
jateng,Jawa Tengah
jatoh,jatuh
jaz,jazz
jd,jadi
jdi,jadi
jdian,jadian
jenenge,namanya
jenengi,beri nama
jep,jeep
jg,juga
jga,juga
jgja,jogja
jgn,jangan
jgn2,jangan-jangan
jgnkan,jangankan
jht,jahat
jjur,jujur
jk,jika
jkrt,Jakarta
jkrta,Jakarta
jkt,Jakarta
jl,jalan
jlan2,jalan-jalan
jlas,jelas
jln,jalan
jln2,jalan-jalan
jls,jelas
jmbatan,jembatan
jmbtan,jembatan
jmin,jamin
jmlh,jumlah
jmn,jaman
jmpa,jumpa
jmpe,jumpa
jmpt,jemput
jmptnya,jemputnya
jo,jangan
jobseeker,pencari kerja
jri,jari
jringan,jaringan
jringn,jaringan
jrngn,jaringan
jtuh,jatuh
jua,juga
jug,juga
jugaj,juga
jugak,juga
jugo,juga
jwb,jawab
jwban,jawaban
jwbanny,jawabannya
jwbannya,jawabannya
jwbany,jawabannya
kabare,kabarnya
kabeh,semua
kacian,kasihan
kadieu,kesini
kaditu,kesitu
kaga,tidak
kagak,tidak
kagk,tidak
kakean,kebanyakan
kale,kali
kalo,kalau
kalu,kalau
kapn,kapan
kapolres,Kepala Kepolisian Resor
karepmu,terserah kamu
karna,karena
karo,sama
kaseep,ganteng
kasi,kasih
kasian,kasihan
kata2,kata-kata
kata2nya,kata-katanya
katane,katanya
katany,katanya
kayak,seperti
kbagusan,kebagusan
kbar,kabar
kbare,kabarnya
kbarin,kabari
kbeh,semua
kbeli,terbeli
kberngktn,keberangkatan
kbhagiaan,kebahagiaan
kbhagian,kebahagiaan
kbr,kabar
kbrin,kabari
kbrnya,kabarnya
kbtulan,kebetulan
kbuka,terbuka
kbun,kebun
kcepatn,kecepatan
kcil,kecil
kcintaan,kecintaan
kcintan,kecintaan
kclakaan,kecelakaan
kclakan,kecelakaan
kcmata,kacamata
kdepannya,kedepannya
kdepanya,kedepannya
kdg,terkadang
kdg2,kadang-kadang
kditu,kesitu
kdlm,kedalam
kdpan,kedepan
kebeli,terbeli
kebengkel,ke bengkel
kebersamanya,kebersamaannya
kebersehan,kebersihan
kebnykn,kebanyakan
kebo,kerbau
kebrngkatan,keberangkatan
kebudayan,kebudayaan
kebulan,ke bulan
kebumi,ke bumi
kebut2an,kebut-kebutan
kebwah,kebawah
kecawa,kecewa
kece,gaul
kecel,capek
kecelakaanya,kecelakaannya
kecelakan,kecelakaan
kecelakanya,kecelakaannya
kecengan,pasangan
kecepean,kecapean
kecepetan,terlalu cepat
kecerian,keceriaan
kecian,kasihan
kecimanggis,ke cimanggis
kecimangis,ke cimanggis
kecipondoh,ke cipondoh
kedaerah,ke daerah
kedatanganya,kedatangannya
kedatengan,kedatangan
kedawan,terlalu panjang
kedeketan,terlalu dekat
kedengeran,kedengaran
kedpn,kedepan
kedpnnya,kedepannya
kedpnya,kedepannya
kedtngan,kedatangan
kedufan,ke dufan
keenaken,keenakan
kegedean,terlalu besar
kegeden,terlalu besar
kegembiran,kegembiraan
kehadiranny,kehadirannya
kehulu,ke hulu
kehutan,ke hutan
keidahan,keindahan
keiklasan,keikhlasan
keilangan,kehilangan
keinget,teringat
keinginanya,keinginannya
keistimewan,keistimewaan
keitung,terhitung
kejadia,kejadian
kejakarta,ke Jakarta
kejar2an,kejar-kejaran
kejauan,kejauhan
kejayan,kejayaan
kejepit,terjepit
kejual,terjual
kejuaran,kejuaraan
kek,seperti
kekalemanya,kekalemannya
kekamar,ke kamar
kekampus,ke kampus
kekandang,ke kandang
kekasur,ke kasur
kekecewan,kekecewaan
kekemayoran,ke kemayoran
kekmana,bagaimana
keknya,kayaknya
kekontrakan,ke kontrakan
kekos,ke kos
kekosanku,ke kosanku
kekota,ke kota
kekuasan,kekuasaan
kekumpul,terkumpul
kekunci,terkunci
kekuranganya,kekurangannya
kekuras,terkuras
kelakon,terlaksana
kelaperan,kelaparan
kelaut,ke laut
keleta,kereta
keliatan,kelihatan
keliatannya,kelihatannya
keliatanya,kelihatannya
kelihatanya,kelihatannya
kelindas,terlindas
kelindes,terlindas
kelja,kerja
kelokasi,ke lokasi
keluarin,keluarkan
kemana2,kemana-mana
kemarahanya,kemarahannya
kembaranya,kembarannya
kembgnkan,kembangkan
kemendiknas,Kementerian Pendidikan Nasional
kemenkes,Kementerian Kesehatan
kemenkeu,Kementerian Keuangan
kemenkominfo,Kementerian Komunikasi dan Informatika
kemenkumham,Kementerian Hukum dan Hak Asasi Manusia
kemenong,kemana
kemenpera,Kementerian Perumahan Rakyat
kemenperin,Kementerian Perindustrian
kementrian,Kementerian
kemerdekan,kemerdekaan
kemis,kamis
kemonas,ke monas
kemrin,kemarin
kemulyaan,kemuliaan
kemulyan,kemuliaan
kemusium,ke museum
kenalin,kenalkan
kenang2an,kenang-kenangan
kenang2ngan,kenang-kenangan
kenanganya,kenangannya
kenapah,kenapa
kenapasi,kenapa ya
kenape,kenapa
kenceng,cepat
kendaran,kendaraan
kendaranya,kendaraannya
kenderaan,kendaraan
keno,kena
kenp,kenapa
kenpa,kenapa
kenyatan,kenyataan
kenyatanya,kenyataannya
kepake,terpakai
kepalanye,kepalanya
kepangang,terpanggang
kepanggang,terpanggang
kepantai,ke pantai
kepantainya,ke pantainya
keparis,ke paris
kepasar,ke pasar
kepastianya,kepastiannya
kepencar,terpencar
kepencet,terpencet
kepengen,ingin
kepengenya,keinginannya
kepengin,ingin
kepercayan,kepercayaan
kepercayanya,kepercayaannya
kepilih,terpilih
kepincut,terpincut
kepinteran,kepintaran
keponakanya,keponakannya
kepotong,terpotong
keprcayaan,kepercayaan
keprcayan,kepercayaan
kepribadianya,kepribadiannya
kepsek,kepala sekolah
kepulau,ke pulau
kepuncak,ke puncak
keputar,terputar
keputusanya,keputusannya
keragunan,ke ragunan
kerajan,kerajaan
keras2,keras-keras
kerasa,terasa
kerdus,kardus
kere,miskin
kering2,kering-kering
keringet,keringat
kerj,kerja
kerjain,kerjakan
kerjan,pekerjaan
kerumah,ke rumah
kesabaranya,kesabarannya
kesalahane,kesalahannya
kesalon,ke salon
kesampean,kesampaian
kesampeng,ke samping
kesane,kesannya
kesangkut,tersangkut
kesanya,kesannya
kesasar,tersasar
kesawah,ke sawah
kesayanganya,kesayangannya
kesederhanan,kesederhanaan
kesedian,kesediaan
kesedianya,kesediaannya
kesekolah,ke sekolah
keselip,terselip
kesetian,kesetiaan
kesetianmu,kesetiaanmu
kesetianya,kesetiaannya
kesian,kasihan
kesklh,ke sekolah
kesmpean,kesampaian
kesna,kesana
kesni,kesini
